DISTRICT,YEAR,PRODUCTION,AREA,YIELD,GDD,HEAT_STRESS_DAYS,PRECIP,PET,P_MINUS_PET,TMEAN,TMX,TMN,DTR,VPD,RH,VAP_KPA,CROP
Dadu,2024.0,113.62,49.26,2.31,6834.900279998779,214.7500171661377,153.4,51.5,101.9,32.987503,40.850002,25.175001,15.675001,0.0,100.0,23.525,RICE
Jamshoro,2000.0,1.53,1.14,1.34,6085.200046539307,154.0000057220459,82.200005,48.4,33.800003,29.925001,36.6875,23.2375,13.450001,0.0,100.0,22.85,RICE
Jamshoro,2001.0,1.34,0.22,5.98,6094.700023651123,155.6500701904297,107.3,48.4,58.900005,29.9625,36.725002,23.275,13.450001,0.0,100.0,23.0375,RICE
Jamshoro,2002.0,1.37,0.41,3.29,6199.100070953369,172.67504692077637,48.6,49.0,-0.4000008,30.3875,37.15,23.7,13.450001,0.0,100.0,23.225,RICE
Jamshoro,2003.0,0.4,0.15,2.66,6063.800081253052,157.20004653930664,329.5,48.5,281.0,29.8375,36.600002,23.15,13.450001,0.0,100.0,22.6375,RICE
Jamshoro,2004.0,0.39,0.15,2.62,6114.799987792969,157.80000591278076,33.2,48.8,-15.599998,30.05,36.8125,23.362501,13.45,0.0,100.0,22.7875,RICE
Jamshoro,2005.0,0.39,0.15,2.65,6051.50020980835,155.0000228881836,64.7,48.5,16.199999,29.7875,36.55,23.1,13.450001,0.0,100.0,22.6875,RICE
Jamshoro,2006.0,0.89,0.7,1.28,6102.700046539307,149.97504711151123,231.5,48.600002,182.9,29.9875,36.75,23.300001,13.450001,0.0,100.0,22.9875,RICE
Jamshoro,2007.0,0.3,0.2,1.51,6175.69993019104,160.1500587463379,201.3,49.2,152.1,30.3,37.0625,23.612501,13.450001,0.0,100.0,23.1375,RICE
Jamshoro,2008.0,0.5,0.19,2.67,6134.400115966797,168.02502918243408,143.3,48.9,94.4,30.125,36.8875,23.4375,13.450001,0.0,100.0,23.0375,RICE
Jamshoro,2009.0,0.36,0.13,2.67,6233.10013961792,184.90003490448,173.4,49.6,123.8,30.525002,37.287502,23.8375,13.450001,0.0,100.0,23.225,RICE
Jamshoro,2010.0,0.36,2.01,0.18,6245.100246429443,175.05001163482666,331.9,49.800003,282.1,30.575,37.3375,23.8875,13.450001,0.0,100.0,23.2875,RICE
Jamshoro,2011.0,0.4,0.1,4.02,6225.500175476074,166.57499408721924,126.200005,49.4,76.8,30.5,37.2625,23.8125,13.45,0.0,100.0,23.2375,RICE
Jamshoro,2012.0,0.37,0.13,2.94,6092.6000690460205,158.95005226135254,100.8,48.600002,52.199997,29.95,36.7125,23.2625,13.450001,0.0,100.0,23.0,RICE
Jamshoro,2013.0,1.56,0.44,3.54,6180.4001750946045,173.3500051498413,190.6,49.3,141.29999,30.3125,37.075,23.625,13.45,0.0,100.0,23.225,RICE
Jamshoro,2014.0,1.65,0.44,3.73,6253.100046157837,183.42505836486816,52.100002,49.9,2.2000005,30.6125,37.375,23.925001,13.450001,0.0,100.0,23.112501,RICE
Jamshoro,2015.0,1.63,0.44,3.69,6302.500116348267,188.0000467300415,138.1,50.3,87.8,30.8125,37.575,24.125,13.450001,0.0,100.0,22.8875,RICE
Jamshoro,2016.0,1.65,0.45,3.69,6211.400058746338,172.52504634857178,99.700005,50.0,49.700005,30.4375,37.2,23.75,13.450001,0.0,100.0,23.1875,RICE
Jamshoro,2017.0,1.63,0.44,3.68,6232.10013961792,175.625,123.0,49.8,73.200005,30.525002,37.2875,23.8375,13.45,0.0,100.0,23.275002,RICE
Jamshoro,2018.0,1.63,0.44,3.69,6231.700082778931,172.6250467300415,33.1,49.4,-16.300001,30.525002,37.287502,23.8375,13.450001,0.0,100.0,23.487501,RICE
Jamshoro,2019.0,1.64,0.45,3.65,6210.700057983398,184.77503490448,212.7,49.7,163.0,30.4375,37.2,23.75,13.450001,0.0,100.0,23.175,RICE
Jamshoro,2020.0,1.65,0.45,3.67,6159.300151824951,169.52500534057617,389.4,49.4,340.0,30.225,36.9875,23.5375,13.45,0.0,100.0,23.0,RICE
Jamshoro,2021.0,1.65,0.45,3.7,6231.400196075439,183.20002937316892,105.8,49.8,56.000004,30.525002,37.287502,23.8375,13.450001,0.0,100.0,23.300001,RICE
Jamshoro,2022.0,1.58,0.54,2.94,6235.500162124634,159.97502899169922,512.9,49.7,463.2,30.550001,37.3125,23.8625,13.450001,0.0,100.0,23.1625,RICE
Jamshoro,2023.0,2.06,0.57,3.59,6259.400129318237,184.95003509521484,212.20001,49.8,162.4,30.6375,37.4,23.95,13.450001,0.0,100.0,23.175,RICE
Jamshoro,2024.0,0.31,0.62,0.5,6379.000173568726,185.0500059127808,290.2,50.3,239.9,31.125,37.8875,24.4375,13.45,0.0,100.0,23.7,RICE
Hyderabad,2000.0,14.07,12.38,1.14,6456.600189208984,178.70004081726074,101.8,50.5,51.300007,31.45,37.725002,25.2375,12.487501,0.0,100.0,25.7,RICE
Hyderabad,2001.0,7.75,6.27,1.24,6375.000162124634,173.2500057220459,116.5,49.7,66.799995,31.112501,37.3875,24.9,12.487501,0.0,100.0,25.6,RICE
Hyderabad,2002.0,20.21,9.76,2.07,6432.799978256226,170.3749942779541,37.9,50.100002,-12.200002,31.35,37.625,25.1375,12.4875,0.0,100.0,25.987501,RICE
Hyderabad,2003.0,17.64,8.17,2.16,6331.39999961853,162.60002326965332,304.30002,49.800003,254.5,30.9375,37.2125,24.725,12.4875,0.0,100.0,25.4125,RICE
Hyderabad,2004.0,34.54,17.0,2.03,6428.4001388549805,170.92504119873047,47.5,50.5,-3.0000014,31.337502,37.612503,25.125,12.487501,0.0,100.0,25.65,RICE
Hyderabad,2005.0,34.25,15.8,2.17,6380.200185775757,175.57499980926514,100.700005,49.9,50.8,31.1375,37.4125,24.925,12.4875,0.0,100.0,25.625,RICE
Hyderabad,2006.0,2.89,1.72,1.69,6369.800256729126,171.15001106262207,277.0,49.600002,227.40002,31.087502,37.362503,24.875,12.4875,0.0,100.0,25.800001,RICE
Hyderabad,2007.0,2.92,1.49,1.96,6468.200174331665,179.40002918243408,219.00002,50.4,168.6,31.5,37.775,25.2875,12.487501,0.0,100.0,26.0375,RICE
Hyderabad,2008.0,4.35,1.47,2.95,6344.300048828125,173.32500553131104,140.7,49.600002,91.1,30.987501,37.2625,24.775002,12.487499,0.0,100.0,25.625,RICE
Hyderabad,2009.0,4.97,1.67,2.98,6466.9000453948975,187.14999961853027,215.1,50.5,164.6,31.4875,37.7625,25.275,12.4875,0.0,100.0,26.275002,RICE
Hyderabad,2010.0,6.44,0.4,16.24,6518.40012550354,180.35001754760745,357.4,50.9,306.5,31.7,37.975002,25.4875,12.487501,0.0,100.0,26.2125,RICE
Hyderabad,2011.0,2.5,1.2,2.08,6380.600130081177,169.5000352859497,114.5,49.600002,64.899994,31.1375,37.412502,24.925001,12.4875,0.0,100.0,25.925,RICE
Hyderabad,2012.0,3.31,1.01,3.28,6359.900163650513,172.67504692077637,145.90001,49.9,96.0,31.050001,37.325,24.8375,12.487501,0.0,100.0,25.8125,RICE
Hyderabad,2013.0,3.55,1.09,3.26,6350.600187301636,174.7500410079956,186.0,49.5,136.5,31.0125,37.287502,24.8,12.487501,0.0,100.0,25.975,RICE
Hyderabad,2014.0,3.57,1.07,3.33,6453.800174713135,184.22501754760745,72.0,50.5,21.500002,31.4375,37.7125,25.225,12.487501,0.0,100.0,25.9375,RICE
Hyderabad,2015.0,3.8,1.12,3.39,6435.800163269043,180.1999883651733,150.9,50.4,100.5,31.362501,37.6375,25.15,12.4875,0.0,100.0,25.712502,RICE
Hyderabad,2016.0,3.99,1.04,3.83,6444.600198745728,174.05002307891846,111.4,50.5,60.9,31.400002,37.675,25.1875,12.4875,0.0,100.0,26.0375,RICE
Hyderabad,2017.0,3.87,1.04,3.71,6451.200048446655,180.20001792907715,141.1,50.5,90.600006,31.425,37.7,25.2125,12.4875,0.0,100.0,26.112501,RICE
Hyderabad,2018.0,4.14,1.04,3.99,6514.700117111206,175.72502899169922,43.2,50.7,-7.5,31.6875,37.9625,25.475,12.487501,0.0,100.0,26.2375,RICE
Hyderabad,2019.0,3.67,0.99,3.69,6517.300184249878,193.2250232696533,247.3,51.0,196.3,31.7,37.975002,25.487501,12.487501,0.0,100.0,26.175001,RICE
Hyderabad,2020.0,2.36,0.67,3.51,6522.300140380859,204.0000057220459,441.6,51.3,390.30002,31.7125,37.9875,25.5,12.4875,0.0,100.0,26.1,RICE
